Accession	Submission Date	Title	Number of Raw Files
PXD040705	2023-03-09	Structure of the Hir histone chaperone complex	38
PXD059974	2025-01-20	Elucidating PTEN Conformational Dynamics and Phosphatase Regulation via Integrative Modeling and Mutation Prediction	38
PXD051886	2024-04-30	Condensin II Activation by the centromeric protein M18BP1	38
PXD064795	2025-06-09	Deciphering Mutational Effects on Inducible Nitric Oxide Synthase Conformational Dynamics via Quantitative Cross-Linking Mass Spectrometry and AlphaFold2 Subsampling	38
PXD008418	2017-12-12	Efficient and robust proteome-wide approaches for crosslinking mass spectrometry	37
PXD006707	2017-06-14	Mass spectrometric analysis of membrane protein topology	37
PXD013476	2019-04-12	Effects of a phosphomimetic mutation and nucleotide binding on the interaction of Hsp90a with co-chaperone Aha1 analyzed by chemical cross-linking with mass spectrometry	37
PXD020290	2020-07-10	Analysis of protein-DNA interactions in chromatin by UV induced cross-linking and mass spectrometry	37
PXD017379	2020-02-04	New insights into the architecture of the human SMC5/6 complex	37
PXD026793	2021-06-18	Tissue-specific in vivo mitochondrial matrix proteome profiling in mouse	37
PXD047226	2023-11-24	VAP spatially stabilizes dendritic mitochondria to locally support synaptic plasticity	37
PXD061712	2025-03-11	Dataset 3: APEX2-p62 autophagosome lumen profiling proteomics	37
PXD062479	2025-04-01	Mapping the Toxoplasma gondii cytosolic interactome by crosslinking mass spectrometry and machine learning	37
PXD003913	2016-04-06	Identification of human PKD2 interaction partners from Golgi-enriched protein fractions of HeLa cells by affinity enrichment cross-linking/MS	36
PXD005349	2016-11-15	Combining Affinity Enrichment, Cross-Linking with Photo-Amino Acids, and Mass Spectrometry for Probing Protein Kinase D2 Interactions	36
PXD009571	2019-02-11	Purification of Cross-linked RNA-Protein Complexes by Phenol-Toluol Extraction	36
PXD012792	2019-02-19	Mapping differences in salivary gland secretions using dried saliva spots	36
PXD010611	2019-05-23	Proteomic profiling of human prostate cancer-associated fibroblasts identifies LOXL2 promotes tumour migration in the extracellular matrix	36
PXD015549	2019-09-23	LCMS quantification of internal crosslink in WT and G68L mutant R2lox proteins from Geobacillus kaustophilus.	36
PXD010046	2018-06-06	Formaldehyde-crosslinking enables comprehensive profiling of in vivo RNA-interactome in UV-impermeable samples	36
PXD017244	2020-01-22	Comprehensive cross-linking mass spectrometry reveals molecular insights into the between peripheral and core NuRD complex subunits	36
PXD011974	2018-12-07	Proximity labeling proteomics of the androgen receptor reveals Kruppel-Like Factor 4 as a repressor of androgen-dependent genes	36
PXD016741	2019-12-13	System-wide analyses of the fission yeast poly(A)+ RNA interactome reveal insights into organisation and function of RNA-protein complexes	36
PXD018623	2020-04-17	USP7 and VCPFAF1 define the SUMO/Ubiquitin landscape at DNA replication forks	36
PXD026507	2021-06-07	Mutant PDIA3 causes neurodevelopmental impairment by disturbing endoplasmic reticulum proteostasis	36
PXD024280	2021-02-22	SCAI orchestrates DNA interstrand crosslink repair downstream of FANCI-FANCD2 ubiquitylation	36
PXD030048	2021-11-29	A MULTI-DIMENSIONAL INTERACTOMICS VIEW ON THE PLANT SNRK1 KINASE COMPLEX REVEALS A KEY REGULATORY ROLE FOR THE CLASS II T6P SYNTHASE-LIKE PROTEINS – part2 TurboID-MS dataset	36
PXD036463	2022-09-02	A comprehensive set of ER PDI family members supports the biogenesis of pro-inflammatory interleukin 12 family cytokines	36
PXD030825	2022-01-07	Analysis of oncogenic Kras-induced changes in the RNA-bound proteome of PDAC cells	36
PXD036630	2022-09-12	A photo-oxidation driven proximity labeling strategy enables profiling of mitochondrial proteome dynamics in living cells	36
PXD037443	2022-10-14	Exploring Alternative Cysteine-reactive Chemistry for MS-cleavable Cross-linking Mass Spectrometry	36
PXD038185	2022-11-16	Enhanced RNA interactome capture (eRIC) of human malignant bone tumor cells and normal bone/mesenchymal cells	36
PXD050734	2024-03-18	Crosslinking of Ly6a metabolically reprogram CD8 T cells for cancer immunotherapy.	36
PXD047725	2023-12-11	Proximity labeling reveals dynamic changes in the SQSTM1 protein network	36
PXD029748	2021-11-15	A Two-dimensional Fractionation Method for Proteome-wide Cross-linking Mass Spectrometry Analysis	36
PXD055508	2024-09-03	Photoreceptor-induced LHL4 protects photosystem II in Chlamydomonas reinhardtii - BN-PAGE profiling	36
PXD060898	2025-02-18	Photoaffinity ligand of Cystic Fibrosis corrector VX-445 identifies SCCPDH as an off-target	36
PXD060078	2025-01-22	Chemical crosslinking of plastocyanin and the cytochrome b6f complex	36
PXD066315	2025-07-18	DNA polymerase kappa is the primary translesion synthesis polymerase for aldehyde ICLs	36
PXD011121	2018-09-18	In-Search Assignment of Monoisotopic Peaks Improves the Identification of Cross-Linked Peptides	35
PXD006510	2017-05-12	Crosslinking mass spectrometry of yeast Pol I pre-initiation complex	35
PXD026545	2021-06-07	RBBP9 interactors in Fanconi Anaemia	35
PXD047679	2023-12-10	Higher-order structure and proteoforms of co-occurring C4b-binding protein assemblies in human serum	35
PXD001538	2015-09-21	Comprehensive XL-MS reveals parallel orientation and versatile conformations of plant HOP2/MND1	34
PXD013720	2019-05-29	Identification of proteins and miRNAs that specifically bind an mRNA in vivo	34
PXD041438	2023-04-10	Cross-linking mass spectrometry uncovers interactions between high-density lipoproteins and the SARS-CoV-2 spike glycoprotein	34
PXD042501	2023-05-25	Cross-linked amyloidogenic proteins as potential aggregation inhibitors	34
PXD056825	2024-10-15	Isobaric crosslinking mass spectrometry technology for studying conformational and structural changes in proteins and complexes	34
PXD051971	2024-05-03	An Intrinsically Disordered Region of Ubp10 Governs its Specificity for Deubiquitinating H2A/H2B Dimers over Nucleosomes	34
PXD013869	2019-05-16	Peptidomics analysis of dromedary camel supraoptic nucleus by tandem mass spectrometry	33
PXD013947	2019-05-21	Structural basis of TFIIH activation for nucleotide excision repair	33
PXD010422	2018-07-13	eXL-MS: An enhanced Cross-Linking Mass Spectrometry Workflow to Study Protein Complexes.	33
PXD030578	2021-12-21	Reanalysis of publicly available medium size protein complex data set with MaxLynx	33
PXD031159	2022-01-21	Uncover New Reactivity of Genetically Encoded Alkyl Bromide Unnatural Amino Acids	33
PXD034532	2022-06-15	Genetically encoded photocatalytic protein labeling enables spatially-resolved profiling of intracellular proteome	33
PXD047461	2023-12-02	De novo sequencing of an unknown monoclonal antibody using BU-MS and elucidation of the neutralizing antibody-Streptolysin O complex via cross-linking and hydrogen-deuterium exchange mass spectrometry	33
PXD050493	2024-03-09	A High-Performance Workflow for Identifying Site-Specific Crosslinks Originating from a Genetically Incorporated, Photoreactive Amino Acid	33
PXD061541	2025-03-06	Employing Expression-Matched Controls Enables High Confidence Proximity-Based Interactome Classification (Dataset 1)	33
PXD069844	2025-10-23	Proximity interaction network of Rho GTPases by BioID in human podocytes	33
PXD010070	2018-06-08	Cross-linking mass spectrometry analyses of three different kinetochore protein complexes (KMN, NDC80C, MIS12C) using an MS-cleavable cross-linker, BuUrBu (DSBU)	32
PXD019251	2020-05-18	Interactions of CDK19 with MED12 and cyclin-C assessed by chemical cross-linking mass spectrometry	32
PXD010111	2020-09-15	Crosslinking MS to elucidate the Architecture of the Nucleosome Remodelling and Deacetylase (NuRD) complex	32
PXD027891	2021-08-12	pH dependence of succinimide ester-based protein cross-linking for structural mass spectrometry applications	32
PXD020817	2020-08-10	Structural analysis of the regulatory GAF domains of cGMP phosphodiesterase elucidates the allosteric communication pathway	32
PXD030864	2022-01-10	Genetically targeted proteomics identify compositional and phosphoproteome trajectories of corticostriatal projections across postnatal development	32
PXD044328	2023-08-03	Structural basis of the human transcriptional Mediator complex modulated by its dissociable Kinase module	32
PXD053509	2024-06-29	EXPLORING THE INTERACTOME OF PML NUCLEAR SUBDOMAINS DURING FATTY ACID STRESS USING APEX2-MEDIATED PROXIMITY LABELING	32
PXD061691	2025-03-11	Dataset 5: p62 overexpression IP-MS	32
PXD055537	2024-09-04	Lysyl Oxidases are Necessary for Myometrial Contractility and On-Time Parturition in Mice	32
PXD062600	2025-04-04	Dysfunctional mitochondria trap proteins in the intermembrane space - Data set 4:  AP-MS for Apj1, Pwp2 and Utp18	32
PXD066357	2025-07-21	COLLAGEN POST-TRANSLATIONAL MODIFICATIONS ARE ALTERED IN IPF INCLUDING WITHIN ECM RECEPTOR BINDING MOTIFS	32
PXD002987	2015-11-04	xIP-MS: topological analysis of chromatin-associated protein complexes using single affinity purification	31
PXD032297	2022-03-15	Pattern Analysis of Organellar Maps for Interpretation of Pro-teomic Data	31
PXD042301	2023-05-17	Mapping of the podocin proximity-dependent proteome reveals novel components of the kidney podocyte foot process.	31
PXD018219	2020-05-22	Inter- and Intra-Molecular Interactions of The Arabidopsis Plasma Membrane Proton Pump Revealed Using a Mass Spectrometric-Cleavable Crosslinker	31
PXD042302	2023-05-17	Mapping of the podocin proximity-dependent proteome reveals novel components of the kidney podocyte foot process.	31
PXD041148	2023-03-28	Progress Toward Proteome-Wide Photo-Crosslinking to Enable Residue-Level Visualization of Protein Structure and Networks in vivo	31
PXD041884	2023-04-29	Quantifying Protein Acetylation in Diabetic Nephropathy from FFPE Explants	31
PXD003909	2016-04-05	Identification of human PKD2 interaction partners from cytosolic protein fractions of HeLa cells by affinity enrichment cross-linking/MS	30
PXD009927	2018-05-28	Apolipoprotein A1 forms 5/5 and 5/4 antiparallel dimers in human high-density lipoprotein	30
PXD003658	2016-02-17	In planta chemical crosslinking and mass spectrometry analysis of protein structure and interaction in Arabidopsis	30
PXD010884	2018-08-29	Cross-linking/mass spectrometry for the 13th Community Wide Experiment on the Critical Assessment of Techniques for Protein Structure Prediction (CASP13)	30
PXD015037	2019-08-15	Development of Photocrosslinking Probes Based on Huwentoxin-IV to Map the Site of Interaction on Nav1.7	30
PXD023751	2021-01-22	Covalent histone modification by an electrophilic derivative of the anti-HIV drug nevirapine	30
PXD027759	2021-08-05	Identification of proximal SUMO-dependent interactors using SUMO-ID	30
PXD033167	2022-04-12	Crosslinking-Mass Spectrometry data for structural analysis of Doublecortin-Microtubule interaction	30
PXD031166	2022-05-16	Evidence for a ‘trap-and-flip’ mechanism in a proton-dependent lipid transporter	30
PXD025099	2021-03-30	Facilitating in situ cross-linking and mass spectrometry by antibody-based protein enrichment	30
PXD036538	2022-09-05	Human TRMT2A methylates different components of the translation machinery and contributes to translation fidelity	30
PXD043805	2023-07-15	Analysis of NF186 proximity proteomes across neuronal development using Nfasc antibodies in an antibody-directed proximity biotinylation strategy combined with mass spectrometry	30
PXD042388	2023-05-22	ELOF1 anchors CRL4CSA to RNA pol II to activate transcription-coupled repair	30
PXD040412	2023-02-27	Drosophila brain O-GlcNAc proteome	30
PXD049360	2024-02-14	A germline PAF1 paralog complex ensures cell type-specific gene expression (co-IP data)	30
PXD040428	2023-02-27	UNC-45 assisted myosin folding depends on a conserved FX3HY motif implicated in Freeman Sheldon Syndrome	30
PXD054003	2024-07-17	The hGID GID4 E3 ubiquitin ligase complex targets ARHGAP11A to regulate cell migration	30
PXD055775	2024-09-11	Phosphorylation of a nuclear condensate regulates cohesion and mRNA retention	30
PXD049689	2024-02-19	Distinct interactomes of ADAR1 nuclear and cytoplasmic protein isoforms and their responses to Interferon induction	30
PXD055703	2024-09-08	Targeted quantification of XL peptides in Bik1 variants and different conditions	30
PXD059547	2025-01-08	Cross-linking mass spectrometry of purified human endosomes (DHSO, DMTMM)	30
PXD053175	2024-06-17	In vivo RNA Affinity Purification of wildtype and nonstop mutant VHL tumor suppressor mRNA	30
PXD062101	2025-03-21	Mapping the Interactome of KRAS and Its G12C/D/V Mutants by Integrating TurboID Proximity Labeling with Quantitative Proteomics	30
PXD061560	2025-03-07	Employing Expression-Matched Controls Enables High Confidence Proximity-Based Interactome Classification (Dataset 2)	30
PXD059552	2025-01-08	Cell Surface Biotinylation via Furan Crosslinking to Profile the Surfaceome	30
PXD010892	2018-08-28	In vivo cross-linking supports a head-to-tail mechanism for regulation of the plant plasma membrane P-type H+-ATPase	29
PXD002094	2015-04-21	Tumor-Associated Macrophages Promote Colorectal Tumor Development Through Remodeling of Its Extracellular Matrix	29
PXD011510	2018-10-29	Critical role of the UBL-domain in stimulating the E3 ubiquitin ligase activity of UHRF1 towards chromatin	29
PXD015044	2019-08-16	Insight into the structure of the “unstructured” tau protein	29
PXD024010	2021-02-05	Single Nucleotide Resolution RNA-Protein Cross-Linking/MS: Simple Extension of the CLIR-MS Workflow	29
PXD009474	2018-04-16	Translocase of the Outer Membrane (TOM complex) of hydrogenosomes in Trichomonas vaginalis	29
PXD034327	2022-06-06	Structure of the metastatic factor P-Rex1 reveals a two-layered autoinhibitory mechanism	29
PXD041943	2023-05-03	Proteomic identification of the GPER1 interactome	29
PXD056942	2024-10-18	BPP43_05035 is a Brachyspira pilosicoli cell surface adhesin that weakens the integrity of the epithelial barrier during infection	29
PXD013097	2019-03-14	PhAXA-MS analysis of 4EBP1, cJun, and ERK2 Kinases	28
PXD003576	2016-02-04	Proteomic Analysis of Loricrin Knockout Mouse Epidermis	28
PXD010281	2018-07-02	Chaperone Activation and Client Binding of a 2-Cysteine Peroxiredoxin	28
PXD011995	2018-12-10	Early Scanning of Nascent Polypeptides inside the Ribosomal Tunnel by NAC	28
PXD015863	2019-10-17	Discovery of Widespread Host Protein Interactions with the Pre-Replicated Genome of CHIKV using VIR-CLASP	28
PXD015285	2020-02-14	Ensured auxin sensing by degron flexibility	28
PXD015275	2019-09-02	Ligand-induced disorder-to-order transitions characterized by structural proteomics and molecular dynamics simulations	28
PXD020704	2020-08-03	Open search strategy for inferring the masses of cross-link adducts	28
PXD034373	2022-06-06	Identification of bile acid-interacting proteins in Salmonella Typhimurium (14028S) by chemoproteomics	28
PXD029914	2021-11-25	Different Oligomeric States of the Tumor Suppressor p53 Show Identical Binding Behavior Towards the S100β Homodimer	28
PXD031215	2022-01-25	26S proteasome crosslinking mass spectrometry data for mi-filter	28
PXD035916	2022-08-10	TESMIN interactome characterization	28
PXD027349	2021-07-16	Chemical Crosslinking of Isotopically Labeled α-Synuclein Reveals Structural Changes and the Interface of Oligomeric Species	28
PXD037678	2022-10-24	Genetically encoded photocatalytic protein labeling enables spatially-resolved profiling of intracellular proteome	28
PXD040736	2023-03-09	Protein content and proximity map of yeast nuclear mRNPs	28
PXD048347	2024-01-09	Deciphering lineage specification during early embryogenesis using multi-layered proteomics	28
PXD055085	2024-08-22	Epitope and paratope mapping of a SUMO-remnant antibody using cross-linking mass spectrometry and molecular docking	28
PXD040310	2023-02-21	Subcellular proteomics and iPSC modeling uncover mechanisms of axonal pathology in Alzheimer’s disease	28
PXD064557	2025-06-03	Proximity labeling of NF1 using APEX	28
PXD059888	2025-01-16	Structural Insights into Complement Inhibition: Visualizing Distinct Binding Modes of C4b-binding Protein Complexes with C4b and SAP	28
PXD016355	2019-11-20	Identification of parvulin interactors by diazirine mediated cross-linking	28
PXD001681	2015-01-15	HA-mSLX4 wild type and SIMdependent interactors	27
PXD007862	2017-09-28	BIOSITe: A novel method for direct detection of site specific biotinylation	27
PXD015161	2019-08-27	Proximity labeling of FAMA transcription factor complexes in seedlings of Arabidopsis thaliana using TurboID	27
PXD023542	2021-01-12	Targeted in situ cross-linking for determination of structure and interactions of SARS-CoV-2 proteins in the cellular context	27
PXD028150	2021-11-02	Interrogating kinase-substrate relationships with proximity labeling and phosphorylation enrichment	27
PXD033466	2022-04-27	A proximity labeling method for protein-protein interactions on cell membrane	27
PXD033959	2022-05-18	Site-Link for identification of chromatinized proteome defined by site-specific histone acylations in living cells	27
PXD039839	2023-02-03	Biochemical characterisation of Mer3 helicase interactions and the protection of meiotic recombination intermediates	27
PXD048046	2023-12-21	Mapping the interactome of OSCC prognostic-associated proteins NDRG1 and PGK1 through proximity labeling using TurboID	27
PXD055060	2024-08-22	Structural proteomic analysis of folding intermediates of FLuc on the human ribosome	27
PXD062134	2025-03-21	DNA polymerase kappa is the primary translesion synthesis polymerase for aldehyde ICLs	27
PXD007928	2017-11-07	Cross-linking of the human MHC-I peptide-loading complex	26
PXD002058	2015-07-27	Tau interactome -  The human tau interactome: binding to the ribonucleoproteome, and impaired binding of the P301L mutant to chaperones and the proteasome	26
PXD008337	2017-11-30	Lamin A dimer and tetramer cross-links help explain disease mutations and polymer plasticity	26
PXD015507	2019-09-19	Identification of CTPS1 Filament Interacting Proteins_2019 dataset	26
PXD019274	2020-05-19	Cryo-EM structures of holo condensin reveal a subunit flip-flop mechanism	26
PXD026367	2021-05-31	Structural basis for the specificity of PPM1H phosphatase for Rab GTPases	26
PXD023192	2020-12-17	The universally conserved ATPase YchF regulates translation of leaderless mRNA in response to stress conditions	26
PXD027611	2021-07-28	Identifying and characterising Thrap3, Bclaf1 and Erh direct interactions using cross-linking mass spectrometry	26
PXD027420	2021-07-19	Retroelement Ty1 Integrase interactome identified using tandem chromatin affinity purification ( TChAP) after in vivo crosslink in yeast Saccharomyces cerevisiae	26
PXD033391	2022-04-23	Determining kinome changes in response to Cytomegalovirus US28 expression and identifying US28 interacting proteins	26
PXD040337	2023-02-22	Identifying interactors of IRF1 and STAT1 during type I and type II interferon treatment using proximity-dependent labeling	26
PXD060054	2025-01-22	Plectin-mediated cytoskeletal crosstalk as a target for inhibition of hepatocellular carcinoma growth and metastasis – in vivo profiling	26
PXD060638	2025-02-10	Proteomic characterization of the Alzheimer’s disease risk factor BIN1 interactome	26
PXD056680	2024-10-10	The structural scaffold of the TPLATE complex deforms the membrane during plant endocytosis	26
PXD015985	2019-10-23	Non-competitive binding of PpiD and YidC to the SecYEG translocon expands the global view on the SecYEG interactome in E. coli	25
PXD003882	2016-03-31	Drosophila mRNA Interactome -  Global changes of the RNA-bound proteome during the maternal-to-zygotic transition in Drosophila	25
PXD008147	2017-11-14	First evidence that a protein coded by a short ORF, not by the annotated CDS is the main gene product	25
PXD022279	2020-11-02	Multiplexed CuAAC-Suzuki-Miyaura for tandem activity-based chemoproteomic profiling	25
PXD020346	2020-07-14	TENT5A mediated cytoplasmic polyadenylation in osteoblast supports proper bone formation.	25
PXD043047	2023-06-16	Therapeutic Effects of Valeriana jatamansi on Ulcerative Colitis: Insights into Mechanisms of Action through Metabolomics and Microbiome Analysis	25
PXD045081	2023-09-04	Proteomics after labeling the vicinity of UNC-45 using miniTurbo and TurboID biotin ligases followed by streptavidin pull-down under non-stress and optogenetically induced mechanical muscle stress (OptIMMuS).	25
PXD016018	2019-10-25	DeSUMOylase SENP7 mediated epithelial signaling triggers intestinal inflammation via expansion of Gamma-delta T cell	25
PXD015981	2019-10-23	Proteomics analysis of Formalin Fixed Paraffin Embedded tissues in the investigation of prostate cancer	24
PXD002543	2015-07-15	RBDmap -  The Cardiomyocyte RNA-Binding Proteome: Links to Intermediary Metabolism and Heart Disease	24
PXD007914	2017-10-09	Mouse stool samples in response to antibiotic treatment	24
PXD002890	2016-06-03	mRNA interactome in mouse macrophages	24
PXD006428	2017-05-05	Hydroxylamine Chemical Digestion for Insoluble Extracellular Matrix Characterization	24
PXD007043	2017-07-14	Cross-linking MS data of CtNup82-Y complex	24
PXD012350	2019-01-15	Peptidoglycan metabolite photoaffinity reporters reveal direct binding to intracellular pattern recognition receptors and Arf GTPases	24
PXD014523	2019-07-08	Comparison of OpenPepXL and xQuest on a Labeled Cross-Linking MS dataset	24
PXD017940	2020-03-09	Two siblings with strong NER inactivation due to inherited ERCC1 deficiency display mild clinical features of XP and CS with severe liver impairment	24
PXD019751	2020-06-15	The TRiC Chaperonin and Prefoldin Cooperate to Fold and Assemble Viral Capsid Oligomers	24
PXD024366	2021-02-24	Proteomic profiling of the ciliary Hedgehog response reveals coordinated exit of GPR161 and PKA	24
PXD017933	2020-03-09	Identification of AXL interactome by proximity-dependent protein identification (BioID)	24
PXD024822	2021-03-18	The human GID complex engages two independent modules for substrate recruitment	24
PXD022976	2020-12-07	The structures of R124H and R555W TGFBIp suggest a direct role of the mutated residues in the aggregation of TGFBIp in granular corneal dystrophy	24
PXD021923	2020-10-12	Identification of proximal SUMO-dependent interactors using SUMO-ID	24
PXD022861	2021-02-01	IMProv: A Resource for Crosslink-Driven Structure Modeling that Accommodates Protein Dynamics	24
PXD027213	2021-07-09	Structural architecture and function of the human NALCN channelosome	24
PXD011078	2018-09-13	The Bloom’s syndrome helicase BLM functions as a homodimer within the Bloom’s complex	24
PXD032952	2022-04-02	Proximity labelling of FLAG-TurboID- or Myc-UltraID-tagged full-length RNPS1 or RNPS1 deletion mutants followed by proteomics analysis	24
PXD023427	2021-12-16	Global mapping of RNA-binding proteins in multi-drug resistant Staphylococcus aureus using 2C_2	24
PXD023408	2021-12-16	Global mapping of RNA-binding proteins in multi-drug resistant Staphylococcus aureus using 2C_3	24
PXD035622	2022-07-29	Mitochondrial interactome quantitation reveals structural changes in metabolic machinery in the failing murine heart	24
PXD014661	2019-07-18	Identification of Toll-like receptor 4 interacting partner through immunoprecipitation-based chemical cross-linking proteomics	24
PXD036976	2022-09-25	Liver RBFOX2 regulates cholesterol homeostasis via Scarb1 alternative splicing in mice	24
PXD030590	2021-12-22	Folding of beta-tubulin by the chaperonin TRiC/CCT studied by chemical cross-linking and mass spectrometry	24
PXD026959	2021-06-27	Metaproteomic analysis of cecal contents from healthy mice versus mice with DSS-induced colitis	24
PXD033902	2022-05-16	Identification of potential visceral pain biomarkers in colon exudates from mice with experimental colitis: an exploratory in vitro study	24
PXD026654	2021-06-11	Identification of formaldehyde-induced DNA-protein crosslinks by PxP-MS	24
PXD035712	2022-08-02	Mitochondrial interactome quantitation reveals structural changes in metabolic machinery in the failing murine heart	24
PXD027239	2021-07-12	Metabolic labeling of NMT substrates by photoactivatable/clickable myristate probes X3/X8/X10	24
PXD025278	2021-04-09	Deep proteomic profiling of TE03 (I3) human embryonic stem cells (hESCs)	24
PXD005728	2017-01-17	Proteomics of 24 bacterial strains from an artificial microbiota reference to evaluate metaproteomics	24
PXD022991	2020-12-08	In vivo protein-protein crosslinking in human lens through lys or protein N-terminus with Gln/Glu residues	24
PXD044528	2023-08-13	Rab30 regulates lipid homeostasis in the hepatocyte during fasting	24
PXD042395	2023-05-22	PEPseq Quantifies Transcriptome-Wide Changes in Protein Occupancy and Reveals Selective Translational Repression After Translational Stress	24
PXD047668	2023-12-09	CSB promotes transcription-coupled repair of DNA-protein crosslinks	24
PXD038583	2022-12-06	Mitochondrial translocase blocking ATP5MG-tFT fusion protein interactome in human embryonic kidney (HEK) 293 cells	24
PXD046792	2023-11-08	Yeast TLDc domain-containing proteins control assembly and subcellular localization of the V-ATPase	24
PXD040000	2023-02-09	Confirmation of replication interactome of TopBP1 using proximity-dependent biotinylation MS	24
PXD035337	2022-07-14	Dual role of PCNA-monoubiquitination in facilitating Fanconi Anemia-mediated interstrand crosslink repair	24
PXD053621	2024-07-04	Proximity labeling reveals new functional relationships between meiotic recombination proteins in S. cerevisiae	24
PXD045054	2023-09-03	Conserved immunomodulation and variation in host association by Xanthomonadales commensals in Arabidopsis root microbiota	24
PXD056299	2024-09-26	Development of a proximity labeling vector to identify protein-protein interactions in human stem cells	24
PXD055649	2024-09-07	Proteomic Profiling of Potential E6AP Substrates via Ubiquitin-based Photo-Crosslinking Assisted Affinity Enrichment	24
PXD056787	2024-10-14	Spatiotemporal proteomics reveals the biosynthetic lysosomal membrane protein interactome in neurons	24
PXD049372	2024-02-14	Identification of the Drosophila centriolar satellite proximity interactome by direct and indirect biotin proximity labeling	24
PXD062890	2025-04-13	Immunoprecipitation of U2AF2-TurboID-HA	24
PXD059211	2024-12-24	Proteomic profiling of a healthy biological sample (human serum) obtained from the surface of the AFM chip.	24
PXD017937	2020-03-09	Identifying interactors through BioID2 in rat cortical neurons	24
PXD054939	2024-08-15	APEX2-MCM2 proximity labeling with high-resolution quantitative mass spectrometry in ESC	24
PXD052623	2024-05-28	Protein imbalance from aneuploidy impairs mitochondria - Dataset 1: APEX2-p62 global proxitome proteomics with WT, 13/3 and 5/4	24
PXD063973	2025-05-15	Activation of an initiating phosphoglycosyl transferase by a single-domain response regulator	24
PXD059010	2024-12-18	PLAA/UFD-3 regulates P-bodies through its intrinsic disordered domain	24
PXD055147	2024-08-23	Interrogating the interaction of fission yeast RNA-binding protein Puf3 with the Ccr4-Not complex using crosslinking mass spectrometry	24
PXD060138	2025-01-24	Cilia-iAPEX proximity labeling proteomics	24
PXD067624	2025-08-22	DNA-Protein Crosslinks Promote cGAS-STING-driven Premature Aging and Embryonic Lethality	24
PXD067620	2025-08-22	DNA-Protein Crosslinks Promote cGAS-STING-driven Premature Aging and Embryonic Lethality	24
PXD067622	2025-08-22	DNA-Protein Crosslinks Promote cGAS-STING-driven Premature Aging and Embryonic Lethality	24
PXD056951	2024-10-18	Whole cell proteome of HeLa Flp in T-RexTM RNF4 WT treated with either CCW16, 1a or 2c	24
PXD052926	2024-06-07	E-cadherin mechanotransduction activates EGFR/ERK signaling by inducing ligand shedding	24
PXD065365	2025-06-24	2E7 Antigen Identification Using PhAbomics Technology	24
PXD018608	2020-04-17	Crosslinking/mass spectrometry (CLMS) analysis of Cohesin complex	23
PXD030274	2021-12-09	Proteome-wide identifying site non-specific cross-linking peptides with SpotLink	23
PXD035655	2022-08-01	Tear protein profile in eyes with keratoconus after one year of intrastromal corneal ring and corneal crosslinking: a pilot study	23
PXD045987	2023-10-09	Mass spectrometry analysis of chromosomal passenger complex proteins and kinetochore proteins in Trypanosoma brucei	23
PXD050376	2024-03-05	Rab30 regulates lipid homeostasis in the hepatocyte during fasting	23
PXD053506	2024-06-29	Identification of Survival Motor Neuron (SMN) complexes in Drosophila using affinity purification-mass spectrometry analysis	23
PXD052011	2024-05-06	Interrogation of RNA-bound proteome with XRNAX illuminates molecular alterations in the mouse brain affected with dysmyelination	23
PXD016993	2020-01-16	Identification of SurA inter-domain dynamics and client binding by XL-MS	22
PXD016304	2020-09-02	Towards the molecular architecture of the peroxisomal receptor docking complex	22
PXD024665	2021-03-11	Integrin a5, aV, and aVb3 in zebrafish embryos at the 12 somite stage	22
PXD034163	2022-05-27	Chlorpyrifos oxon crosslinking of amyloid beta 42 peptides is a new route for generation of self-aggregating amyloidogenic oligomers that promote Alzheimer’s disease	22
PXD031519	2022-02-09	Cross-linking mass spectrometry and integrative modelling of Methanocaldococcus jannaschii GMP synthetase	22
PXD032918	2022-04-02	Operation of a TCA cycle subnetwork in the mammalian nucleus	22
PXD039467	2023-01-16	Identification of myelin basic protein interactome using TurboID proximity labeling proteomics	22
PXD030299	2021-12-11	Integrative structure models of the α-Synuclein dimer conformations	22
PXD038234	2022-11-22	GIPC3 AP-MS/MS from chick inner ear extracts	22
PXD017085	2020-01-14	Application of TurboID-mediated proximity labeling and phosphoproteomics for mapping a GSK3 kinase signaling network in Arabidopsis	22
PXD038658	2022-12-07	Targeted cross-linker delivery for in situ mapping of protein conformations and interactions in mitochondria	22
PXD025843	2021-05-06	Structural analysis of the native TREX complex from S. cerevisiae	22
PXD035589	2022-07-25	Structural surfaceomics of Nomo-1 using DSSO cross-linker with MS3 approach	22
PXD045791	2023-09-28	Bioorthogonal Photocatalytic Proximity Labeling in Primary Living Samples	22
PXD040262	2023-02-20	A Spatiotemporal Map of Co-Receptor Signaling Networks Underlying B Cell Activation	22
PXD044446	2023-08-08	The MYCN oncoprotein is an RNA-binding protein that promotes nascent RNA turnover via the NEXT targeting complex of the nuclear exosome	22
PXD043531	2023-07-04	A deep XL-proteomic dataset of intact HEK293T cells using DSBSO	22
PXD051742	2024-04-25	Monolinks Matter: Rational Modification of a Cross-Linker for Improved Flexible Protein Structure Modeling	22
PXD000491	2015-05-07	Proteomics reveals dynamic assembly of repair complexes during bypass of DNA cross-links part 2 of 2: AP-MS DATA (QUBIC)	21
PXD009289	2018-03-22	Helpful dirt: Why diphtheria toxoid vaccines may also protect against non-toxigenic Corynebacterium diphtheriae strains	21
